RAJ2000,DEJ2000,Seq,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,__3_6_,e__3_6_,__4_5_,e__4_5_,__5_8_,e__5_8_,__8_0_,e__8_0_,__24_,e__24_,AKs,alpha,Cl,_2M,Simbad
85.67783,-10.41925,1,14.38,0.04,12.06,0.03,10.5,0.02,8.53,0.01,7.57,0.01,6.71,0.01,5.85,0.01,1.97,0.01,1.15,0.22,"P ",2M,Simbad
85.62729,-10.179944,2,0.0,0.0,0.0,0.0,0.0,0.0,14.48,0.01,13.97,0.01,13.52,0.05,12.95,0.05,0.0,0.0,0.0,-1.08,"D ",2M,Simbad
85.75662,-10.130639,3,0.0,0.0,0.0,0.0,0.0,0.0,14.58,0.01,13.91,0.01,13.35,0.04,12.95,0.05,0.0,0.0,0.0,-0.97,"D ",2M,Simbad
85.55446,-10.093028,4,0.0,0.0,15.18,0.06,13.6,0.04,11.55,0.01,10.57,0.01,9.69,0.01,8.84,0.01,5.48,0.01,0.35,0.26,"P ",2M,Simbad
85.63238,-10.090611,5,14.21,0.03,12.75,0.02,11.75,0.02,10.45,0.01,9.92,0.01,9.48,0.01,8.87,0.01,6.22,0.02,0.45,-1.04,"D ",2M,Simbad
85.658455,-10.062111,6,14.05,0.03,12.77,0.03,12.14,0.03,11.57,0.01,11.3,0.01,10.92,0.01,10.55,0.02,7.68,0.04,0.51,-1.64,"D ",2M,Simbad
85.74971,-10.061111,7,12.82,0.02,11.84,0.03,11.44,0.03,10.98,0.01,10.78,0.01,10.33,0.01,9.29,0.01,5.79,0.01,0.3,-0.86,"D ",2M,Simbad
85.74996,-10.059834,8,0.0,0.0,14.09,0.08,13.49,0.06,12.7,0.01,12.44,0.01,12.03,0.02,0.0,0.0,0.0,0.0,0.27,0.0,"D ",2M,Simbad
85.741,-10.059806,9,16.16,0.08,15.18,0.07,14.48,0.1,14.06,0.01,13.75,0.01,13.23,0.04,12.83,0.05,0.0,0.0,0.07,-1.38,"D ",2M,Simbad
85.65459,-10.058222,10,12.83,0.03,11.64,0.03,11.07,0.02,10.45,0.01,10.15,0.01,9.75,0.01,8.99,0.01,6.21,0.02,0.43,-1.15,"D ",2M,Simbad
85.685165,-10.055111,11,13.5,0.03,11.92,0.02,11.14,0.02,10.42,0.01,10.19,0.01,9.87,0.01,9.17,0.01,5.14,0.02,0.77,-1.39,"D ",2M,Simbad
85.720085,-10.044806,12,15.76,0.07,14.63,0.06,14.05,0.07,13.41,0.01,13.13,0.01,12.8,0.03,12.13,0.02,0.0,0.0,0.35,-1.36,"D ",2M,Simbad
85.719124,-10.041778,13,14.7,0.03,13.6,0.04,13.0,0.03,12.46,0.01,12.28,0.01,12.1,0.02,12.03,0.02,8.57,0.09,0.3,-2.33,"D ",2M,Simbad
85.5285,-10.041166,14,0.0,0.0,15.92,0.14,14.62,0.11,13.93,0.01,13.23,0.01,12.38,0.02,11.25,0.02,7.31,0.03,0.59,0.25,FP,2M,Simbad
85.55171,-10.036417,15,13.31,0.02,12.27,0.03,11.78,0.02,11.27,0.01,10.99,0.01,10.54,0.01,9.63,0.01,6.82,0.01,0.3,-0.94,"D ",2M,Simbad
85.64337,-10.031083,16,0.0,0.0,0.0,0.0,10.15,0.03,9.65,0.01,9.45,0.01,8.26,0.01,6.54,0.02,3.93,0.01,0.0,0.89,"D ",2M,Simbad
85.61562,-10.030861,17,10.24,0.02,9.34,0.03,8.47,0.03,7.14,0.01,6.78,0.01,6.3,0.01,5.3,0.01,1.94,0.01,0.0,-0.72,"D ",2M,Simbad
85.607544,-10.029972,18,13.29,0.03,12.49,0.03,12.1,0.02,11.8,0.01,11.7,0.01,11.58,0.01,11.38,0.02,7.17,0.03,0.06,-2.35,"D ",2M,Simbad
85.66363,-10.029833,19,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.01,13.26,0.01,12.72,0.05,12.54,0.04,7.24,0.03,0.0,-1.17,FP,2M,Simbad
85.64533,-10.029528,20,10.18,0.03,9.18,0.03,8.59,0.02,7.42,0.01,6.86,0.01,6.28,0.01,5.67,0.01,2.89,0.01,0.18,-0.81,"D ",2M,Simbad
85.61887,-10.028556,21,16.24,0.09,15.18,0.07,14.42,0.09,13.75,0.02,13.5,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,"D ",2M,Simbad
85.63133,-10.026806,22,0.0,0.0,14.92,0.07,12.78,0.03,10.77,0.01,10.01,0.01,9.52,0.01,9.07,0.01,5.87,0.02,2.4,-0.92,"D ",2M,Simbad
85.638084,-10.022083,23,15.49,0.06,12.61,0.03,10.49,0.02,7.93,0.01,7.07,0.01,6.25,0.01,5.26,0.01,1.87,0.02,1.45,0.22,"P ",2M,Simbad
85.641205,-10.020416,24,0.0,0.0,0.0,0.0,13.74,0.12,9.8,0.01,8.02,0.01,6.55,0.01,5.31,0.01,1.24,0.01,0.0,2.29,"P ",2M,Simbad
85.500336,-10.019778,25,12.07,0.02,10.74,0.02,9.83,0.02,9.35,0.01,8.93,0.01,8.48,0.01,7.7,0.01,3.77,0.01,0.37,-0.93,"D ",2M,Simbad
85.659,-10.018694,26,13.72,0.03,11.31,0.03,10.02,0.03,9.28,0.01,9.0,0.01,8.69,0.01,8.46,0.01,5.34,0.01,1.45,-1.87,"D ",2M,Simbad
85.67313,-10.018306,27,14.49,0.03,13.31,0.03,12.55,0.03,11.31,0.01,10.94,0.01,10.55,0.01,10.33,0.01,8.19,0.06,0.29,-1.69,"D ",2M,Simbad
85.77108,-10.017361,28,13.41,0.02,12.21,0.02,11.61,0.02,11.11,0.01,10.9,0.01,10.71,0.01,10.59,0.01,6.15,0.02,0.42,-2.23,"D ",2M,Simbad
85.65225,-10.017305,29,13.4,0.03,11.99,0.03,11.36,0.02,10.9,0.01,10.65,0.01,10.33,0.01,9.5,0.01,4.46,0.01,0.66,-1.24,"D ",2M,Simbad
85.56379,-10.016334,30,14.57,0.03,13.29,0.04,12.59,0.03,11.91,0.01,11.52,0.01,11.03,0.01,10.17,0.01,7.75,0.05,0.46,-0.83,"D ",2M,Simbad
85.599,-10.015917,31,0.0,0.0,0.0,0.0,14.74,0.11,12.4,0.01,11.18,0.01,10.19,0.01,9.39,0.01,4.65,0.01,0.0,0.6,"P ",2M,Simbad
85.64088,-10.014694,32,15.22,0.05,13.52,0.04,12.38,0.03,10.55,0.01,9.58,0.01,8.53,0.01,6.98,0.01,2.39,0.01,0.67,1.26,"P ",2M,Simbad
85.5665,-10.011333,33,14.52,0.04,12.84,0.02,12.03,0.03,11.04,0.01,10.56,0.01,9.99,0.01,9.28,0.01,6.35,0.02,0.87,-0.8,"D ",2M,Simbad
