RA,DE,Internal_ID,main_id,otype,otypes,ra_simbad,dec_simbad,multiple_counterpars,sep2simbad,massive_star,ms_contaminant,giant_label,giant_prob,extragalactic_label,extragalactic_prob,alpha_2_24,intercept_2_24,class_2_24,EW_Li,e_EW_Li,f_EW_Li,li_ref,EW_Li_,e_EW_Li_,f_EW_Li_,li_ref_,Ha_ID,HaRA,HaDE,HaID,Ha_ref,EW_Ha,e_EW_Ha,f_EW_Ha,_EW_Ha,_e_EW_Ha,_f_EW_Ha,e_up_EW_Ha,e_low_EW_Ha,Ha_line_flag,Ha_comment,W10_Ha,e_W10_Ha,e_up_W10_Ha,e_low_W10_Ha,f_W10_Ha,W10_HA_comment,EW_Ha_PHOT,e_EW_Ha_PHOT,Ha_sep,s_sep,s_ref,veiling_ropt,e_veiling_ropt,f_veiling_ropt,comment_veiling_ropt,veiling_rk,e_veiling_rk,f_veiling_rk,comment_veiling_rk,E_rk_1_CG2010,e_low_veiling_rk,veiling_rh,e_veiling_rh,f_veiling_rh,comment_veiling_rh,veiling_r7465,e_veiling_r7465,f_veiling_r7465,comment_veiling_r7465
85.56633333,-2.11275,2193,Haro 5-54,TT*,*|Em*|NIR|Or*|TT*|V*|X|Y*O|ev,85.56611581,-2.11297064,,1.115045468,false,false,false,0.01,false,0.03,-2.338726439,-9.507537386,III thin disk,0.49,,,2019AJ....157...85B,"[0.49, 0.20019136]","[nan, nan]","[nan, nan]","['2019AJ....157...85B', '2024arXiv240919858B']",2958,,,,2019AJ....157...85B,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.4675,-2.022527778,2296,V* V620 Ori A,*,*|V*,85.46753578,-2.022539873,2,0.135881183,false,false,false,0.0,false,0.39,-1.420072161,-9.432466979,II,0.7,,,2005AJ....129..907B,"[0.7, 0.7, 0.55]","[nan, nan, nan]","[nan, nan, nan]","['2005AJ....129..907B', '2019AJ....157...85B', '2017ApJ...844..138K']",1899,,,,2005AJ....129..907B,-40.9,,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.415,0.033,,,,,,
85.53775,-2.138055556,2419,2MASS J05420905-0208173,TT*,*|NIR|TT*|X|Y*O,85.53775054,-2.138166725,,0.400211869,false,false,false,0.0,false,0.05,-2.19986258,-9.381815566,III thin disk,0.6096913,,,2024arXiv240919858B,"[0.53, 0.52, 0.6096912999999999]","[nan, nan, nan]","[nan, nan, nan]","['2019AJ....157...85B', '2017ApJ...844..138K', '2024arXiv240919858B']",3184,,,,2019AJ....157...85B,-0.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.41229167,-1.993333333,2503,Haro 5-59,TT*,*|Em*|LP?|NIR|TT*|V*|X|Y*O,85.41233467,-1.993434268,,0.394939002,false,false,false,,false,,-0.950648608,-9.55664711,II,0.69,,,2019AJ....157...85B,"[0.69, 0.55]","[nan, nan]","[nan, nan]","['2019AJ....157...85B', '2017ApJ...844..138K']",3268,,,,2019AJ....157...85B,-10.92,,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.282,0.0292,,,,,,
85.42258333,-1.7315,2600,EM* LkHA  288,TT*,*|Em*|NIR|SB*|TT*|Y*?|Y*O,85.42255195,-1.731525875,,0.146378628,false,false,false,0.02,false,,-0.625832957,-9.198107933,II,0.7,,,2005AJ....129..907B,"[0.7, 0.7, 0.34, 0.019566614000000003]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","['2005AJ....129..907B', '2019AJ....157...85B', '2017ApJ...844..138K', '2024arXiv240919858B']",1935,,,,2005AJ....129..907B,-19.9,,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.254,0.0906,,,,,,
85.47720833,-1.720527778,2845,CVSO 186,TT*,*|NIR|TT*|Y*?|Y*O,85.47715585,-1.720551882,,0.20782155,false,false,false,0.03,false,,-2.386054907,-9.326891467,III thin disk,0.53,,,2017ApJ...844..138K,"[0.5, 0.486, 0.53, 0.36404602]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","['2005AJ....129..907B', '2019AJ....157...85B', '2017ApJ...844..138K', '2024arXiv240919858B']",1963,,,,2005AJ....129..907B,-5.3,,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.199,0.0195,,,,,,
85.55166667,-2.085972222,2946,2MASS J05421241-0205097,TT*,*|Em*|NIR|TT*|X|Y*O|ev,85.55174637,-2.086053682,,0.410147134,false,false,false,0.0,false,0.04,-2.382039378,-9.647997184,III thin disk,0.386,,,2019AJ....157...85B,[0.386],[nan],[nan],['2019AJ....157...85B'],3711,,,,2019AJ....157...85B,-7.184,,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.273,0.0331,,,,,,
85.54683333,-1.995416667,3226,2MASS J05421125-0159437,TT*,*|Em*|NIR|TT*|X|Y*O,85.546913,-1.995506756,,0.432815782,false,false,false,0.0,false,,-2.429397911,-9.323611505,III thin disk,0.48,,,2017ApJ...844..138K,"[0.38, 0.48, 0.4678657]","[nan, nan, nan]","[nan, nan, nan]","['2019AJ....157...85B', '2017ApJ...844..138K', '2024arXiv240919858B']",3990,,,,2019AJ....157...85B,-0.769,,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.107,0.0199,,,,,,
85.38654167,-1.965944444,3497,CVSO 181,TT*,*|NIR|Or*|TT*|X|Y*?|Y*O,85.38647576,-1.965993133,,0.294878508,false,false,false,0.0,false,,-1.665209289,-10.03360935,III thin disk,0.6,,,2019AJ....157...85B,"[0.6, 0.46]","[nan, nan]","[nan, nan]","['2019AJ....157...85B', '2017ApJ...844..138K']",4261,,,,2019AJ....157...85B,-25.3,,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.279,0.0327,,,,,,
85.233599,-1.790598,5213,2XMM J054056.0-014726,X,X,85.23365,-1.79077,2,0.645820939,false,false,false,0.0,false,,-0.582897592,-10.04990045,II,,,,,,,,,16207,,,,2012RAA....12..723Z,-95.55684,-3.5902,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.621,0.0499,,,,,,
